ClientID;SkuID;amount;Date
1251272;"4301030246";0;2020-06-10 00:00:00,000
800518;"4301130475";0;2020-06-10 00:00:00,000
841116;"4301010937";0;2020-06-10 00:00:00,000
841116;"4301050992";0;2020-06-10 00:00:00,000
841116;"4301050952";0;2020-06-10 00:00:00,000
841116;"4301011050";0;2020-06-10 00:00:00,000
940207;"4301050923";0;2020-06-10 00:00:00,000
940207;"4301050992";0;2020-06-10 00:00:00,000
940207;"4301011053";0;2020-06-10 00:00:00,000
940207;"4301011059";0;2020-06-10 00:00:00,000
940207;"4301011050";0;2020-06-10 00:00:00,000
940207;"4301010932";0;2020-06-10 00:00:00,000
800490;"4301050992";0;2020-06-10 00:00:00,000
940207;"4301011043";0;2020-06-10 00:00:00,000
940207;"4301010937";0;2020-06-10 00:00:00,000
940207;"4301011046";0;2020-06-10 00:00:00,000
916021;"4301130475";0;2020-06-10 00:00:00,000
902269;"4301130475";0;2020-06-10 00:00:00,000
638595;"4301011041";0;2020-06-10 00:00:00,000
841116;"4301010994";0;2020-06-10 00:00:00,000
841116;"4301050952";0;2020-06-10 00:00:00,000
1325305;"4301010994";0;2020-06-10 00:00:00,000
1325305;"4301011050";0;2020-06-10 00:00:00,000
841116;"4301011050";0;2020-06-10 00:00:00,000
841116;"4301011041";0;2020-06-10 00:00:00,000
841116;"4301050923";0;2020-06-10 00:00:00,000
841116;"4301011046";0;2020-06-10 00:00:00,000
841116;"4301010992";0;2020-06-10 00:00:00,000
841116;"4301010994";0;2020-06-10 00:00:00,000
841116;"4301011046";0;2020-06-10 00:00:00,000
841116;"4301010914";0;2020-06-10 00:00:00,000
1325305;"4301011046";0;2020-06-10 00:00:00,000
1325305;"4301011043";0;2020-06-10 00:00:00,000
1325305;"4301011041";0;2020-06-10 00:00:00,000
1325305;"4301050992";0;2020-06-10 00:00:00,000
1325305;"4301011053";0;2020-06-10 00:00:00,000
1172192;"4301011059";0;2020-06-10 00:00:00,000
1172192;"4301010994";0;2020-06-10 00:00:00,000
1172192;"4301010914";0;2020-06-10 00:00:00,000
1172192;"4301011041";0;2020-06-10 00:00:00,000
1172192;"4301010925";0;2020-06-10 00:00:00,000
1172192;"4301050992";0;2020-06-10 00:00:00,000
1194709;"4301010992";0;2020-06-10 00:00:00,000
1194709;"4301010994";0;2020-06-10 00:00:00,000
1194709;"4301011041";0;2020-06-10 00:00:00,000
1194709;"4301010925";0;2020-06-10 00:00:00,000
1194709;"4301011040";0;2020-06-10 00:00:00,000
1194709;"4301011061";0;2020-06-10 00:00:00,000
1194709;"4301050992";0;2020-06-10 00:00:00,000
1194709;"4301010932";0;2020-06-10 00:00:00,000
1194709;"4301050952";0;2020-06-10 00:00:00,000
1194709;"4301010937";0;2020-06-10 00:00:00,000
1172192;"4301010937";0;2020-06-10 00:00:00,000
1172192;"4301010932";0;2020-06-10 00:00:00,000
1172192;"4301011040";0;2020-06-10 00:00:00,000
1172192;"4301050952";0;2020-06-10 00:00:00,000
1172192;"4301011046";0;2020-06-10 00:00:00,000
1172192;"4301011043";0;2020-06-10 00:00:00,000
1172192;"4301011061";0;2020-06-10 00:00:00,000
638595;"4301050992";0;2020-06-10 00:00:00,000
638595;"4301011046";0;2020-06-10 00:00:00,000
638595;"4301050923";0;2020-06-10 00:00:00,000
1333743;"4301050923";0;2020-06-10 00:00:00,000
800551;"4301050923";0;2020-06-10 00:00:00,000
800551;"4301011064";0;2020-06-10 00:00:00,000
800551;"4301050992";0;2020-06-10 00:00:00,000
800551;"4301010924";0;2020-06-10 00:00:00,000
800551;"4301011053";0;2020-06-10 00:00:00,000
950247;"4301011046";0;2020-06-10 00:00:00,000
950247;"4301050992";0;2020-06-10 00:00:00,000
950247;"4301011041";0;2020-06-10 00:00:00,000
1333743;"4301011041";0;2020-06-10 00:00:00,000
1333743;"4301011048";0;2020-06-10 00:00:00,000
1333743;"4301050992";0;2020-06-10 00:00:00,000
638610;"4301050923";0;2020-06-10 00:00:00,000
638610;"4301011046";0;2020-06-10 00:00:00,000
638610;"4301050992";0;2020-06-10 00:00:00,000
818266;"4301050990";0;2020-06-10 00:00:00,000
818266;"4301060282";0;2020-06-10 00:00:00,000
818266;"4301010928";0;2020-06-10 00:00:00,000
818266;"4301020112";0;2020-06-10 00:00:00,000
818266;"4301010926";0;2020-06-10 00:00:00,000
818266;"4301051009";0;2020-06-10 00:00:00,000
