SkuID;SkuName;TrademarkName;GroupID
4301010003;Товар9;Стародворье;4
4301010004;Товар10;Стародворье;4
4301010005;Товар11;Стародворье;4
4301010006;Товар13;Стародворье;4
4301010007;Товар14;Стародворье;4
4301010008;Товар15;Стародворье;4
4301010010;Товар17;Стародворье;4
4301010011;Товар18;Стародворье;4
4301010012;Товар19;Стародворье;4
4301010013;Товар20;Стародворье;4
4301010015;Товар21;Стародворье;4
4301010018;Товар22;Стародворье;4
4301010019;Товар23;Стародворье;4
4301010020;Товар24;Стародворье;4
4301010021;Товар25;Стародворье;4
4301010024;Товар28;Стародворье;4
4301010025;Товар29;Стародворье;4
4301010026;Товар30;Стародворье;4
4301010030;Товар31;Стародворье;4
4301010031;Товар32;Стародворье;4
4301010033;Товар33;Стародворье;4
4301010034;Товар34;Стародворье;4
4301010110;Товар37;Стародворье;4
4301010111;Товар38;Стародворье;4
4301010244;Товар39;Стародворье;4
4301010370;Товар56;Стародворье;4
4301010371;Товар57;Стародворье;4
4301010372;Товар58;Стародворье;4
4301010386;Товар63;Стародворье;4
4301010388;Товар64;Стародворье;4
4301010390;Товар65;Стародворье;4
4301010395;Товар66;Стародворье;4
4301010400;Товар67;Стародворье;4
4301010431;Товар78;Стародворье;4
4301010435;Товар80;Стародворье;4
4301010436;Товар81;Стародворье;4
4301010438;Товар82;Стародворье;4
4301010439;Товар83;Стародворье;4
4301010440;Товар84;Стародворье;4
4301010441;Товар85;Стародворье;4
4301010442;Товар86;Стародворье;4
4301010444;Товар87;Стародворье;4
4301010445;Товар88;Стародворье;4
4301010446;Товар89;Стародворье;4
4301010450;Товар91;Стародворье;4
4301010452;Товар92;Стародворье;4
4301010458;Товар97;Стародворье;4
4301010460;Товар98;Стародворье;4
4301010462;Товар99;Стародворье;4
4301010464;Товар100;Стародворье;4
4301010470;Товар102;Стародворье;4
4301010472;Товар103;Стародворье;4
4301010474;Товар104;Стародворье;4
4301010476;Товар105;Стародворье;4
4301010512;Товар112;Стародворье;4
4301010514;Товар113;Стародворье;4
4301010516;Товар114;Стародворье;4
4301010518;Товар115;Стародворье;4
4301010519;Товар116;Стародворье;4
4301010520;Товар117;Стародворье;4
4301010521;Товар118;Стародворье;4
4301010522;Товар119;Стародворье;4
4301010523;Товар120;Стародворье;4
4301010524;Товар121;Стародворье;4
4301010528;Товар122;Стародворье;4
4301010542;Товар130;Стародворье;4
4301010543;Товар131;Стародворье;4
4301010544;Товар132;Стародворье;4
4301010546;Товар134;Стародворье;4
4301010547;Товар135;Стародворье;4
4301010548;Товар136;Стародворье;4
4301010549;Товар137;Стародворье;4
4301010550;Товар138;Стародворье;4
4301010551;Товар139;Стародворье;4
4301010552;Товар140;Стародворье;4
4301010554;Товар141;Стародворье;4
4301010603;Товар173;Стародворье;4
4301010604;Товар174;Стародворье;4
4301010605;Товар175;Стародворье;4
4301010612;Товар180;Стародворье;4
4301010613;Товар181;Стародворье;4
4301010614;Товар182;Стародворье;4
4301010615;Товар183;Стародворье;4
4301010616;Товар184;Стародворье;4
4301010617;Товар185;Стародворье;4
4301010618;Товар186;Стародворье;4
4301010619;Товар187;Стародворье;4
4301010620;Товар188;Стародворье;4
4301010623;Товар191;Стародворье;4
4301010624;Товар192;Стародворье;4
4301010625;Товар193;Стародворье;4
4301010626;Товар194;Стародворье;4
4301010627;Товар195;Стародворье;4
4301010628;Товар196;Стародворье;4
4301010630;Товар198;Стародворье;4
4301010631;Товар199;Стародворье;4
4301010632;Товар200;Стародворье;4
4301010633;Товар201;Стародворье;4
4301010634;Товар202;Стародворье;4
4301010636;Товар204;Стародворье;4
4301010637;Товар205;Стародворье;4
4301010646;Товар214;Стародворье;4
4301010647;Товар215;Стародворье;4
4301010648;Товар216;Стародворье;4
4301010649;Товар217;Стародворье;4
4301010650;Товар218;Стародворье;4
4301010653;Товар220;Стародворье;4
4301010654;Товар221;Стародворье;4
4301010656;Товар223;Стародворье;4
4301010657;Товар224;Стародворье;4
4301010658;Товар225;Стародворье;4
4301010668;Товар235;Стародворье;4
4301010669;Товар236;Стародворье;4
4301010670;Товар237;Стародворье;4
4301010671;Товар238;Стародворье;4
4301010678;Товар241;Стародворье;4
4301010679;Товар242;Стародворье;4
4301010680;Товар243;Стародворье;4
4301010681;Товар244;Стародворье;4
4301010682;Товар245;Стародворье;4
4301010683;Товар246;Стародворье;4
4301010690;Товар250;Стародворье;4
4301010691;Товар251;Стародворье;4
4301010692;Товар252;Стародворье;4
4301010700;Товар259;Стародворье;4
4301010701;Товар260;Стародворье;4
4301010702;Товар261;Стародворье;4
4301010703;Товар262;Стародворье;4
4301010718;Товар277;Стародворье;4
4301010722;Товар281;Стародворье;4
4301010723;Товар282;Стародворье;4
4301010724;Товар283;Стародворье;4
4301010725;Товар284;Стародворье;4
4301010726;Товар285;Стародворье;4
4301010727;Товар286;Стародворье;4
4301010728;Товар287;Стародворье;4
4301010743;Товар302;Стародворье;4
4301010744;Товар303;Стародворье;4
4301010745;Товар304;Стародворье;4
4301010746;Товар305;Стародворье;4
4301010747;Товар306;Стародворье;4
4301010748;Товар307;Стародворье;4
4301010749;Товар308;Стародворье;4
4301010750;Товар309;Стародворье;4
4301010751;Товар310;Стародворье;4
4301010752;Товар311;Стародворье;4
4301010753;Товар312;Стародворье;4
4301010754;Товар313;Стародворье;4
4301010760;Товар319;Стародворье;4
4301010761;Товар320;Стародворье;4
4301010762;Товар321;Стародворье;4
4301010763;Товар322;Стародворье;4
4301010764;Товар323;Стародворье;4
4301010765;Товар324;Стародворье;4
4301010766;Товар325;Стародворье;4
4301010767;Товар326;Стародворье;4
4301010768;Товар327;Стародворье;4
4301010770;Товар329;Стародворье;4
4301010771;Товар330;Стародворье;4
4301010772;Товар331;Стародворье;4
4301010776;Товар335;Стародворье;4
4301010777;Товар336;Стародворье;4
4301010780;Товар339;Стародворье;4
4301010781;Товар340;Стародворье;4
4301010782;Товар341;Стародворье;4
4301010783;Товар342;Стародворье;4
4301010784;Товар343;Стародворье;4
4301010787;Товар346;Стародворье;4
4301010788;Товар347;Стародворье;4
4301010789;Товар348;Стародворье;4
4301010790;Товар349;Стародворье;4
4301010791;Товар350;Стародворье;4
4301010792;Товар351;Стародворье;4
4301010793;Товар352;Стародворье;4
4301010794;Товар353;Стародворье;4
4301010795;Товар354;Стародворье;4
4301010796;Товар355;Стародворье;4
4301010797;Товар356;Стародворье;4
4301010798;Товар357;Стародворье;4
4301010802;Товар361;Стародворье;4
4301010803;Товар362;Стародворье;4
4301010807;Товар366;Стародворье;4
4301010808;Товар367;Стародворье;4
4301010814;Товар373;Стародворье;4
4301010817;Товар376;Стародворье;4
4301010818;Товар377;Стародворье;4
4301010819;Товар378;Стародворье;4
4301010821;Товар380;Стародворье;4
4301010822;Товар381;Стародворье;4
4301010823;Товар382;Стародворье;4
4301010824;Товар383;Стародворье;4
4301010825;Товар384;Стародворье;4
4301010826;Товар385;Стародворье;4
4301010827;Товар386;Стародворье;4
4301010828;Товар387;Стародворье;4
4301010829;Товар388;Стародворье;4
4301010830;Товар389;Стародворье;4
4301010831;Товар390;Стародворье;4
4301010832;Товар391;Стародворье;4
4301010837;Товар396;Стародворье;4
4301010841;Товар400;Стародворье;4
4301010842;Товар401;Стародворье;4
4301010843;Товар402;Стародворье;4
4301010844;Товар403;Стародворье;4
4301010846;Товар405;Стародворье;4
4301010847;Товар406;Стародворье;4
4301010848;Товар407;Стародворье;4
4301010851;Товар410;Стародворье;4
4301010852;Товар411;Стародворье;4
4301010853;Товар412;Стародворье;4
4301010857;Товар416;Стародворье;4
4301010868;Товар427;Стародворье;4
4301010869;Товар428;Стародворье;4
4301010870;Товар429;Стародворье;4
4301010871;Товар430;Стародворье;4
4301010872;Товар431;Стародворье;4
4301010873;Товар432;Стародворье;4
4301010876;Товар435;Стародворье;4
4301010878;Товар437;Стародворье;4
4301010881;Товар439;Стародворье;4
4301010882;Товар440;Стародворье;4
4301010883;Товар441;Стародворье;4
4301010884;Товар442;Стародворье;4
4301010885;Товар443;Стародворье;4
4301010889;Товар447;Стародворье;4
4301010891;Товар449;Стародворье;4
4301010895;Товар453;Стародворье;4
4301010896;Товар454;Стародворье;4
4301010897;Товар455;Стародворье;4
4301010899;Товар457;Стародворье;4
4301010900;Товар458;Стародворье;4
4301010904;Товар462;Стародворье;4
4301010907;Товар465;Стародворье;4
4301010908;Товар466;Стародворье;4
4301010924;Товар482;Стародворье;4
4301010925;Товар483;Стародворье;4
4301010926;Товар484;Стародворье;4
4301010927;Товар485;Стародворье;4
4301010928;Товар486;Стародворье;4
4301010929;Товар487;Стародворье;4
4301010930;Товар488;Стародворье;4
4301010931;Товар489;Стародворье;4
4301010932;Товар490;Стародворье;4
4301010933;Товар491;Стародворье;4
4301010934;Товар492;Стародворье;4
